@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,44,0,600,0,1,1,0.068323,1,0.931677,0.127907,1,1,0
1,44,0,599,1,0.998333,1,0.068429,1,0.931571,0.128093,0.998447,1.001555,0
2,44,0,597,3,0.995,1,0.068643,1,0.931357,0.128467,0.995342,1.00468,0
3,44,0,596,4,0.993333,1,0.06875,1,0.93125,0.128655,0.993789,1.00625,0
4,43,1,595,5,0.991667,0.977273,0.067398,0.977273,0.932602,0.1261,0.990683,0.986463,0
5,43,1,594,6,0.99,0.977273,0.067504,0.977273,0.932496,0.126285,0.98913,0.988012,0
6,43,1,593,7,0.988333,0.977273,0.06761,0.977273,0.93239,0.126471,0.987578,0.989565,0
7,43,1,592,8,0.986667,0.977273,0.067717,0.977273,0.932283,0.126657,0.986025,0.991124,0
8,43,1,591,9,0.985,0.977273,0.067823,0.977273,0.932177,0.126844,0.984472,0.992687,0
9,43,1,589,11,0.981667,0.977273,0.068038,0.977273,0.931962,0.127219,0.981366,0.995829,0
10,43,1,588,12,0.98,0.977273,0.068146,0.977273,0.931854,0.127407,0.979814,0.997407,0
11,43,1,585,15,0.975,0.977273,0.068471,0.977273,0.931529,0.127976,0.975155,1.002171,0
12,43,1,583,17,0.971667,0.977273,0.06869,0.977273,0.93131,0.128358,0.97205,1.005373,0.049057
13,38,6,527,73,0.878333,0.863636,0.067257,0.863636,0.932743,0.124795,0.877329,0.984393,0.050752
14,34,10,472,128,0.786667,0.772727,0.067194,0.772727,0.932806,0.123636,0.785714,0.983471,0.050943
15,30,14,415,185,0.691667,0.681818,0.067416,0.681818,0.932584,0.122699,0.690994,0.986721,0.05104
16,26,18,357,243,0.595,0.590909,0.067885,0.590909,0.932115,0.12178,0.59472,0.993591,0.05104
17,22,22,299,301,0.498333,0.5,0.068536,0.5,0.931464,0.120548,0.498447,1.003115,0.052336
18,19,25,245,355,0.408333,0.431818,0.07197,0.431818,0.92803,0.123377,0.409938,1.053375,0.05293
19,16,28,186,414,0.31,0.363636,0.079208,0.363636,0.920792,0.130081,0.313665,1.159316,0.054511
20,14,30,129,471,0.215,0.318182,0.097902,0.318182,0.902098,0.149733,0.22205,1.432931,0.055866
21,13,31,76,524,0.126667,0.295455,0.146067,0.295455,0.853933,0.195489,0.138199,2.137896,0.05597
22,12,32,22,578,0.036667,0.272727,0.352941,0.272727,0.647059,0.307692,0.052795,5.165775,0.200001
23,9,35,21,579,0.035,0.204545,0.3,0.204545,0.7,0.243243,0.046584,4.390909,0.263158
24,7,37,18,582,0.03,0.159091,0.28,0.159091,0.72,0.202899,0.03882,4.098182,0.272727
25,6,38,17,583,0.028333,0.136364,0.26087,0.136364,0.73913,0.179104,0.035714,3.818182,0.299999
26,5,39,14,586,0.023333,0.113636,0.263158,0.113636,0.736842,0.15873,0.029503,3.851675,0.304348
27,5,39,13,587,0.021667,0.113636,0.277778,0.113636,0.722222,0.16129,0.02795,4.065657,0.304348
28,5,39,12,588,0.02,0.113636,0.294118,0.113636,0.705882,0.163934,0.026398,4.304813,0.304348
29,5,39,11,589,0.018333,0.113636,0.3125,0.113636,0.6875,0.166667,0.024845,4.573864,0.318182
30,5,39,9,591,0.015,0.113636,0.357143,0.113636,0.642857,0.172414,0.021739,?,0.35
31,5,39,5,595,0.008333,0.113636,0.5,0.113636,0.5,0.185185,0.015528,?,0.500001
32,5,39,3,597,0.005,0.113636,0.625,0.113636,0.375,0.192308,0.012422,?,0.666667
33,4,40,3,597,0.005,0.090909,0.571429,0.090909,0.428571,0.156863,0.01087,?,0.666667
34,3,41,3,597,0.005,0.068182,0.5,0.068182,0.5,0.12,0.009317,?,0.75
35,1,43,2,598,0.003333,0.022727,0.333333,0.022727,0.666667,0.042553,0.004658,?,0.8
36,0,44,1,599,0.001667,0,0,0,1,0,0.001553,?,1
37,0,44,0,600,0,0,0,0,0,0,0,?,1.00001
